mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.7502760887146,1.8598808607155697,2.547582578659058,0.35004329873985446,SVC(C=1),1,1000,"(1, 3)","{'clf': SVC(C=1), 'clf__C': 1, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}",0.8703855619360131,0.9023789991796555,0.9179655455291222,0.9089417555373257,0.8456486042692939,0.8890640932902821,0.026987012940480563,7
23.064486455917358,2.1734440758369264,3.0193944454193113,0.5536735653709912,SVC(C=1),1,1000,"(1, 5)","{'clf': SVC(C=1), 'clf__C': 1, 'vect__max_features': 1000, 'vect__ngram_range': (1, 5)}",0.8703855619360131,0.9023789991796555,0.9171452009844134,0.9097621000820345,0.8415435139573071,0.8882430752278847,0.028277077125204324,8
36.28848299980164,3.158847774495936,6.984830474853515,2.044354752574526,SVC(C=1),1,10000,"(1, 3)","{'clf': SVC(C=1), 'clf__C': 1, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}",0.8876127973748975,0.9310910582444627,0.9368334700574241,0.9155045118949959,0.8686371100164204,0.9079357895176402,0.02602282916590673,1
45.41007480621338,9.272818029608308,5.719039964675903,1.4789553853042638,SVC(C=1),1,10000,"(1, 5)","{'clf': SVC(C=1), 'clf__C': 1, 'vect__max_features': 10000, 'vect__ngram_range': (1, 5)}",0.8884331419196062,0.9302707136997539,0.9376538146021329,0.9138638228055783,0.867816091954023,0.9076075169962188,0.02610193867701716,2
19.307399177551268,1.3673997022391453,3.207954978942871,1.4608369613255954,SVC(C=1),0.75,1000,"(1, 3)","{'clf': SVC(C=1), 'clf__C': 0.75, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}",0.8703855619360131,0.896636587366694,0.9171452009844134,0.9073010664479081,0.8382594417077176,0.8859455716885491,0.02849509690067566,9
30.81799006462097,6.745042052462036,3.792795753479004,0.9233257967706421,SVC(C=1),0.75,1000,"(1, 5)","{'clf': SVC(C=1), 'clf__C': 0.75, 'vect__max_features': 1000, 'vect__ngram_range': (1, 5)}",0.8687448728465955,0.9007383100902379,0.9163248564397046,0.9056603773584906,0.8349753694581281,0.8852887572386313,0.029739092602060466,10
31.89489893913269,2.615577913336281,6.585361385345459,1.6533500950597548,SVC(C=1),0.75,10000,"(1, 3)","{'clf': SVC(C=1), 'clf__C': 0.75, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}",0.8876127973748975,0.92616899097621,0.9351927809680065,0.9105824446267432,0.867816091954023,0.905474621179976,0.024798086200024248,3
38.65051789283753,3.9907767531474767,6.222081232070923,0.9055573942716899,SVC(C=1),0.75,10000,"(1, 5)","{'clf': SVC(C=1), 'clf__C': 0.75, 'vect__max_features': 10000, 'vect__ngram_range': (1, 5)}",0.8876127973748975,0.9220672682526662,0.9351927809680065,0.9097621000820345,0.8653530377668309,0.9039975968888871,0.024878688208346746,4
21.618541717529297,2.2230219284673804,3.6754769325256347,0.46443903287847244,SVC(C=1),0.5,1000,"(1, 3)","{'clf': SVC(C=1), 'clf__C': 0.5, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}",0.8736669401148482,0.8974569319114027,0.9130434782608695,0.8949958982772764,0.8366174055829229,0.883156130829464,0.026434236244992578,11
23.51442198753357,3.644670196085683,3.1242645263671873,0.9641879892566818,SVC(C=1),0.5,1000,"(1, 5)","{'clf': SVC(C=1), 'clf__C': 0.5, 'vect__max_features': 1000, 'vect__ngram_range': (1, 5)}",0.8736669401148482,0.8990976210008204,0.9122231337161608,0.8958162428219852,0.8333333333333334,0.8828274541974295,0.027680736805505868,12
38.71265907287598,5.941190315999875,6.82534704208374,0.937208968069529,SVC(C=1),0.5,10000,"(1, 3)","{'clf': SVC(C=1), 'clf__C': 0.5, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}",0.8835110746513536,0.9204265791632485,0.9269893355209188,0.9007383100902379,0.8587848932676518,0.8980900385386821,0.02489395263173778,5
35.65679197311401,4.140854267412882,6.08330020904541,1.2081557707160255,SVC(C=1),0.5,10000,"(1, 5)","{'clf': SVC(C=1), 'clf__C': 0.5, 'vect__max_features': 10000, 'vect__ngram_range': (1, 5)}",0.8859721082854799,0.9171452009844134,0.9228876127973749,0.9007383100902379,0.8596059113300493,0.8972698286975112,0.022845309395468073,6
7.505895471572876,1.1419957734767443,0.5952361106872559,0.3309979131104899,MultinomialNB(),,1000,"(1, 3)","{'clf': MultinomialNB(), 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}",0.8654634946677605,0.8769483182936834,0.8547990155865464,0.8260869565217391,0.7668308702791461,0.8380257310697751,0.03939640664235283,19
15.62361216545105,1.099151350415555,1.0823055267333985,0.5652035341823183,MultinomialNB(),,1000,"(1, 5)","{'clf': MultinomialNB(), 'vect__max_features': 1000, 'vect__ngram_range': (1, 5)}",0.8654634946677605,0.8761279737489746,0.8498769483182936,0.8203445447087777,0.7545155993431856,0.8332657121573984,0.04363104553092639,20
9.652516746520996,1.3785885217709197,0.9720194339752197,0.5055839245368979,MultinomialNB(),,10000,"(1, 3)","{'clf': MultinomialNB(), 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}",0.8630024610336341,0.8958162428219852,0.874487284659557,0.8465955701394585,0.8152709359605911,0.8590344989230452,0.02711975806318579,15
